dataset,person,site,beta_mean,beta_sd,p_in_direction
Stroop,7385139,UniversityOfSouthernMississippi,-0.119367486604225,0.03434355232760462,0.9997452280298424
Stroop,7406377,PennStateAbington,-0.1231959018843,0.0330382184273735,0.9999038376872732
Stroop,7409445,VirginiaCommonwealthUniversity,-0.11943020051948,0.03421406942588426,0.9997590991191174
Stroop,7425641,SanDiegoStateUniversity,-0.12215451374725,0.0312600178048953,0.999953408958879
Stroop,7438089,NovaSoutheasternUniversity,-0.12695550671245,0.03474995638191418,0.9998706049314138
Stroop,7460937,PacificLutheranUniversity,-0.124643186437825,0.03518683173972234,0.9998016915992588
Stroop,7467543,PacificLutheranUniversity,-0.12360010020125,0.03346276798315226,0.9998894755059728
Stroop,7474574,PacificLutheranUniversity,-0.1216550275692,0.0335722081613617,0.9998547810221778
Stroop,7478234,mTurk,-0.126098873808125,0.03502795824542227,0.9998408603843186
Stroop,7484346,UCRiverside,-0.1269534338595,0.03142643784718998,0.99997324038514
Stroop,7490555,UCRiverside,-0.12298620865175,0.03076518682244877,0.999968002935106
Stroop,7499516,TexasAandM,-0.12196013350425,0.03265109502281398,0.9999062370946712
Stroop,7502786,UCRiverside,-0.130978742643025,0.03416500368477392,0.9999368877261972
Stroop,7518262,mTurk,-0.11922386493145,0.03346700039120759,0.9998162814417404
Stroop,7518287,mTurk,-0.1271138654765,0.03439089976748178,0.99989055242747
Stroop,7519760,UCRiverside,-0.1201961997312395,0.03483172048374289,0.9997205034631108
Stroop,7524212,MontanaStateUniversity,-0.124511905732625,0.03539153963459688,0.9997826972539994
Stroop,7541465,mTurk,-0.131053123315,0.03249303055883807,0.999972496840026
Stroop,7541486,mTurk,-0.121813202517675,0.03497598388730591,0.9997518699617358
Stroop,7541505,mTurk,-0.124446849009225,0.03464145102859773,0.9998361931417308
Stroop,7550481,UCRiverside,-0.126115242791,0.03282190915069045,0.9999390840346306
Stroop,7551674,PacificLutheranUniversity,-0.13033526623075,0.0332454323744936,0.9999557982432286
Stroop,7552426,mTurk,-0.125594925527375,0.03338895368060606,0.9999155753192126
Stroop,7556430,VirginiaCommonwealthUniversity,-0.13931330774325,0.03453107773476784,0.9999726328079104
Stroop,7556590,VirginiaCommonwealthUniversity,-0.11923909471855,0.03231354942675968,0.9998879015790476
Stroop,7556859,UniversityOfVirginia,-0.12169043927,0.03264080071152063,0.999903562198178
Stroop,7570403,UCRiverside,-0.120799712924875,0.03130421306052439,0.9999430498812384
Stroop,7572843,VirginiaCommonwealthUniversity,-0.1204635373397,0.03430583292679214,0.999777173182315
Stroop,7574548,UCRiverside,-0.149222858726,0.03328441664112955,0.9999963245218448
Stroop,7603494,PennStateAbington,-0.13395459785225,0.03411644640570389,0.9999568855004234
Stroop,7603759,PennStateAbington,-0.141673731201,0.03489914347150986,0.9999754130321408
Stroop,7608300,TexasAandM,-0.12064518481455,0.03317477462132023,0.9998618988590204
Stroop,7609325,TexasAandM,-0.12644871760525,0.03479247139910507,0.9998606696917772
Stroop,7612443,TexasAandM,-0.12111064565271,0.03100589240904905,0.999953091944382
PSA001_Attractive,441,005,-2.865776675208333,0.2532046371059531,1
PSA001_Attractive,8492,005,-3.624625046583333,0.185681772449248,1
PSA001_Attractive,15358,006,-2.31852923175,0.264674333127977,1
PSA001_Dominant,1474,031,3.7053069212083334,0.25417634039581083,1
PSA001_Dominant,2567,031,2.5713022760416666,0.1890143165529917,1
PSA001_Dominant,10183,009,1.5698527532875,0.26331525559505997,0.999999998753204
PSA001_Dominant,12549,002,1.5114500032458331,0.2072062161531298,0.99999999999985
